"filename", "language", "PHP", "JavaScript", "CSS", "comment", "blank", "total"
"c:\laragon\www\proGES-Project\STYLE\addClasses.css", "CSS", 0, 0, 25, 0, 4, 29
"c:\laragon\www\proGES-Project\STYLE\addMark.css", "CSS", 0, 0, 25, 0, 4, 29
"c:\laragon\www\proGES-Project\STYLE\admin.css", "CSS", 0, 0, 23, 0, 2, 25
"c:\laragon\www\proGES-Project\STYLE\classesManage.css", "CSS", 0, 0, 42, 0, 8, 50
"c:\laragon\www\proGES-Project\STYLE\deleteClasses.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\laragon\www\proGES-Project\STYLE\editUser.css", "CSS", 0, 0, 28, 0, 4, 32
"c:\laragon\www\proGES-Project\STYLE\index.css", "CSS", 0, 0, 55, 0, 9, 64
"c:\laragon\www\proGES-Project\STYLE\login.css", "CSS", 0, 0, 175, 0, 23, 198
"c:\laragon\www\proGES-Project\STYLE\marks.css", "CSS", 0, 0, 37, 0, 6, 43
"c:\laragon\www\proGES-Project\STYLE\modifyClasses.css", "CSS", 0, 0, 25, 0, 4, 29
"c:\laragon\www\proGES-Project\STYLE\navbar.css", "CSS", 0, 0, 130, 0, 26, 156
"c:\laragon\www\proGES-Project\STYLE\newsCreate.css", "CSS", 0, 0, 39, 0, 5, 44
"c:\laragon\www\proGES-Project\STYLE\plannings.css", "CSS", 0, 0, 45, 0, 5, 50
"c:\laragon\www\proGES-Project\STYLE\selectClasses.css", "CSS", 0, 0, 25, 0, 4, 29
"c:\laragon\www\proGES-Project\STYLE\usersManage.css", "CSS", 0, 0, 47, 1, 11, 59
"c:\laragon\www\proGES-Project\addClasses.php", "PHP", 28, 0, 0, 0, 7, 35
"c:\laragon\www\proGES-Project\addMark.php", "PHP", 36, 0, 0, 0, 8, 44
"c:\laragon\www\proGES-Project\addSubject.php", "PHP", 28, 0, 0, 0, 7, 35
"c:\laragon\www\proGES-Project\admin.php", "PHP", 27, 0, 0, 0, 5, 32
"c:\laragon\www\proGES-Project\classesManage.php", "PHP", 37, 0, 0, 0, 5, 42
"c:\laragon\www\proGES-Project\createUser.php", "PHP", 71, 0, 0, 0, 7, 78
"c:\laragon\www\proGES-Project\db.php", "PHP", 7, 0, 0, 0, 0, 7
"c:\laragon\www\proGES-Project\deconnexion.php", "PHP", 7, 0, 0, 0, 4, 11
"c:\laragon\www\proGES-Project\deleteClasses.php", "PHP", 27, 0, 0, 0, 3, 30
"c:\laragon\www\proGES-Project\deleteUser.php", "PHP", 19, 0, 0, 0, 12, 31
"c:\laragon\www\proGES-Project\editMark.php", "PHP", 39, 0, 0, 0, 4, 43
"c:\laragon\www\proGES-Project\editUser.php", "PHP", 79, 0, 0, 0, 14, 93
"c:\laragon\www\proGES-Project\globalView.php", "PHP", 122, 0, 0, 0, 20, 142
"c:\laragon\www\proGES-Project\index.php", "PHP", 47, 0, 0, 0, 13, 60
"c:\laragon\www\proGES-Project\marks.php", "PHP", 44, 0, 0, 0, 7, 51
"c:\laragon\www\proGES-Project\modifyClasses.php", "PHP", 35, 0, 0, 0, 6, 41
"c:\laragon\www\proGES-Project\nav.php", "PHP", 19, 0, 0, 0, 0, 19
"c:\laragon\www\proGES-Project\navbar.js", "JavaScript", 0, 38, 0, 0, 4, 42
"c:\laragon\www\proGES-Project\newsCreate.php", "PHP", 49, 0, 0, 0, 5, 54
"c:\laragon\www\proGES-Project\permCheck.php", "PHP", 5, 0, 0, 0, 0, 5
"c:\laragon\www\proGES-Project\planningManager.php", "PHP", 93, 0, 0, 0, 12, 105
"c:\laragon\www\proGES-Project\plannings.php", "PHP", 93, 0, 0, 0, 9, 102
"c:\laragon\www\proGES-Project\saveMark.php", "PHP", 11, 0, 0, 0, 2, 13
"c:\laragon\www\proGES-Project\selectClasses.php", "PHP", 29, 0, 0, 0, 3, 32
"c:\laragon\www\proGES-Project\taskEdit.php", "PHP", 44, 0, 0, 0, 10, 54
"c:\laragon\www\proGES-Project\usersManage.php", "PHP", 53, 0, 0, 0, 5, 58
"Total", "-", 1049, 38, 721, 1, 288, 2097
